status,orbital_period,semi_major_axis,planet_radius,transit_duration,insolation_flux,equilibrium_temperature,kepler_magnitude,stellar_radius,stellar_effective_temperature,stellar_surface_gravity,stellar_mass,stellar_metallicity
1,12.611904345,0.1058,7.4,5.1497,76.15,753.0,15.14,0.919,5795.0,4.508,0.992,-0.02
0,1.433769925,0.0256,46.58,1.8868,3209.29,1920.0,15.122,1.339,6017.0,4.22,1.083,0.02
0,10.31872301,0.0944,28.59,3.836,139.26,876.0,15.065,1.06,5927.0,4.409,1.05,0.07
1,2.539183147,0.0355,2.06,2.4282,743.09,1332.0,15.026,1.062,5519.0,4.35,0.921,0.14
1,6.770300385,0.064,2.77,2.0844,102.87,812.0,15.591,0.679,5653.0,4.656,0.767,-0.84
0,0.444291966,0.0101,27.51,2.0792,2706.26,1836.0,15.748,0.636,5255.0,4.678,0.709,-0.72
1,20.06036336,0.115,1.96,3.3203,4.0,361.0,15.954,0.493,3950.0,4.754,0.502,-0.46
1,46.1842039,0.2005,1.83,4.758,1.32,273.0,15.954,0.493,3950.0,4.754,0.502,-0.46
1,23.9800854,0.1602,1.31,5.351,41.94,649.0,12.882,1.012,5854.0,4.406,0.951,-0.12
1,7.82502168,0.0614,1.2,2.186,14.05,494.0,15.954,0.493,3950.0,4.754,0.502,-0.46
1,3.895936525,0.046,7.34,2.3111,241.62,1005.0,15.725,0.774,5557.0,4.592,0.866,-0.3
1,22.36646466,0.1449,2.32,5.228,19.45,536.0,15.583,0.734,5395.0,4.615,0.821,-0.34
1,1.625522174,0.0265,9.73,2.38963,1467.41,1579.0,15.001,1.106,5539.0,4.322,0.935,0.16
0,7.544039,0.0731,17.47,6.222,116.46,838.0,15.559,0.824,5657.0,4.567,0.919,-0.18
1,9.02930689,0.0796,2.57,3.1449,77.75,757.0,15.387,0.82,5349.0,4.526,0.824,-0.12
0,10.328035714,0.0888,13.28,7.7915,119.31,843.0,15.646,1.024,5627.0,4.359,0.874,-0.1
1,143.2063047,0.5336,8.9,8.9302,2.14,308.0,15.403,0.867,5485.0,4.556,0.986,0.21
1,6.164876,0.0648,0.79,3.262,256.35,1021.0,12.882,1.012,5854.0,4.406,0.951,-0.12
1,60.32494216,0.2998,12.19,6.6188,6.77,411.0,15.403,0.867,5485.0,4.556,0.986,0.21
1,29.1598615,0.1847,1.91,4.803,17.85,524.0,15.403,0.867,5485.0,4.556,0.986,0.21
0,1.540397253,0.0264,25.69,2.1541,1105.68,1470.0,15.974,0.915,5663.0,4.53,1.034,0.21
0,2.99025443,0.0367,1.7,5.414,168.45,918.0,15.842,0.731,4667.0,4.578,0.737,0.1
1,1.594745374,0.0258,11.3,1.9604,1329.42,1539.0,15.53,0.893,5934.0,4.491,0.901,-0.38
1,4.783002698,0.0535,2.5,2.335,145.48,886.0,15.119,0.807,5170.0,4.574,0.891,0.18
1,20.50588921,0.1326,3.41,4.0595,17.06,518.0,15.398,0.761,4905.0,4.544,0.739,-0.04
1,3.340218842,0.0348,2.03,1.9104,43.73,656.0,15.954,0.493,3950.0,4.754,0.502,-0.46
0,2.507089906,0.0365,30.26,2.0067,730.47,1326.0,15.555,0.939,5926.0,4.506,1.03,-0.04
1,18.64932728,0.139,3.12,4.4056,57.13,701.0,15.386,1.053,5775.0,4.405,1.026,0.16
